k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Articles Context-Aware Recommender Systems,reference/sp/AdomaviciusT15,10.1.1.395.8576,26414582,"(19, '-', 19)",98595.35273885727,Match,0.0054433345794677734,0.0037534236907958984,0.009409427642822266,0.4,0.85
7,5000,24 Numerical Methods and Applications in Total Variation Image Restoration,reference/sp/ChanCY15,10.1.1.306.4022,19907404,"(31, '-', 20)",98595.35273885727,Match,0.010268449783325195,0.005519866943359375,0.016104698181152344,0.4,0.85
7,5000,Mathematics of    Photoacoustic  and Thermoacoustic  Tomography,reference/sp/KuchmentK15,10.1.1.182.5388,14458492,"(30, '-', 21)",98595.35273885727,Match,0.0073621273040771484,0.004307270050048828,0.01190042495727539,0.4,0.85
7,5000,Tabu Search,reference/sp/Laguna18,10.1.1.100.6679,308771,"(4, '-', 4)",98595.35273885727,Match,0.00025272369384765625,6.413459777832031e-05,0.00032448768615722656,0.4,0.85
7,5000,Risks and Rewards of Crowdsourcing Marketplaces,reference/sp/ChandlerPM13,10.1.1.372.500,24827203,"(37, '-', 14)",98595.35273885727,Match,0.003351926803588867,0.0017251968383789062,0.005177021026611328,0.4,0.85
7,5000,Synchrony in Social Groups and Its Benefits,reference/sp/XuanF13,10.1.1.295.3952,19287037,"(28, '-', 9)",98595.35273885727,Match,0.006025791168212891,0.0034990310668945312,0.009721755981445312,0.4,0.85
7,5000, A Comprehensive Survey of Neighborhood-based Recommendation Methods,reference/sp/NingDK15,10.1.1.395.8834,13932890,"(34, '-', 16)",98595.35273885727,Match,0.011871814727783203,0.005883932113647461,0.018065452575683594,0.4,0.85
7,5000,Ontologies and the Semantic Web,reference/sp/GrimmAVS11,10.1.1.164.5355,10513466,"(11, '-', 13)",98595.35273885727,Match,0.005532264709472656,0.002866506576538086,0.008594751358032227,0.4,0.85
7,5000,Querying the Semantic Web with RQL,reference/sp/ValleC11,10.1.1.1.6606,72410,"(11, '-', 13)",98595.35273885727,Match,0.00529026985168457,0.002438783645629883,0.007881641387939453,0.4,0.85
7,5000,Generalized Rough Set Models,reference/sp/YaoCZ15,10.1.1.89.4694,323264,"(9, '-', 10)",98595.35273885727,Match,0.0007991790771484375,0.00031828880310058594,0.0011484622955322266,0.4,0.85
7,5000,Mensch-Maschine-Interaktion 2,reference/industrie/NaumannDK17,10.1.1.385.2762,25658581,"(21, '-', 21)",98595.35273885727,Match,0.00022912025451660156,0.00010991096496582031,0.0003490447998046875,0.4,0.85
7,5000,Programmable Logic Controllers (PLC),reference/sc/Frey15,10.1.1.153.3973,9903166,"(16, '-', 16)",98595.35273885727,Match,0.004439353942871094,0.00235748291015625,0.0069425106048583984,0.4,0.85
7,5000,Strategic Form Games and Nash Equilibrium,reference/sc/Ozdaglar15,10.1.1.381.3236,25373131,"(28, '-', 12)",98595.35273885727,Match,0.006737709045410156,0.0041081905364990234,0.011085748672485352,0.4,0.85
7,5000,Inventory Theory,reference/sc/Sethi15,10.1.1.414.6687,24034062,"(9, '-', 9)",98595.35273885727,Match,0.001623392105102539,0.0008077621459960938,0.0024907588958740234,0.4,0.85
7,5000,Distributed Model Predictive Consensus,reference/sc/Pannocchia15,10.1.1.64.4190,3871297,"(11, '-', 12)",98595.35273885727,Match,0.003694295883178711,0.002557039260864258,0.006406068801879883,0.4,0.85
7,5000,Optimal Sampled-Data Control Systems,reference/sc/Yamamoto15a,10.1.1.53.2498,1378779,"(18, '-', 13)",98595.35273885727,Match,0.0026242733001708984,0.0018527507781982422,0.00459599494934082,0.4,0.85
7,5000,Fair Supervisory Control of Discrete-Event Systems,reference/sc/Wonham15,10.1.1.73.4614,4286257,"(22, '-', 22)",98595.35273885727,Match,0.0049266815185546875,0.0030868053436279297,0.008199930191040039,0.4,0.85
7,5000,On-Time Diagnosis of Discrete Event Systems,reference/sc/Lafortune15,10.1.1.152.5044,9831150,"(15, '-', 15)",98595.35273885727,Match,0.006269216537475586,0.004496097564697266,0.010996341705322266,0.4,0.85
7,5000,under Linear Quadratic Optimal Control,reference/sc/Trentelman15a,10.1.1.375.2997,24986044,"(19, '-', 19)",98595.35273885727,Match,0.006312370300292969,0.0028417110443115234,0.009322166442871094,0.4,0.85
7,5000,Game Theory for Cyber Security,reference/sc/Alpcan15,10.1.1.371.9750,24821719,"(7, '-', 6)",98595.35273885727,Match,0.0041735172271728516,0.0019402503967285156,0.006242036819458008,0.4,0.85
7,5000,Electronic Mail:,reference/ap/Sampson02,10.1.1.119.3115,6343719,"(4, '-', 4)",98595.35273885727,Match,0.000431060791015625,0.0001678466796875,0.0006177425384521484,0.4,0.85
7,5000,On Electronic Payment Systems,reference/ap/Winn02,10.1.1.121.1577,6483397,"(10, '-', 10)",98595.35273885727,Match,0.0021262168884277344,0.0013966560363769531,0.0036191940307617188,0.4,0.85
7,5000,Computer-Supported Cooperative Work,reference/ap/OlsonO02,10.1.1.20.6489,4560725,"(19, '-', 19)",98595.35273885727,Match,0.0034875869750976562,0.0017120838165283203,0.005308866500854492,0.4,0.85
7,5000,Desktop Publishing:,reference/ap/Azarmsa02,10.1.1.153.9283,9934981,"(8, '-', 8)",98595.35273885727,Match,0.0013768672943115234,0.0008819103240966797,0.002326488494873047,0.4,0.85
7,5000,Cybernetics,reference/ap/Kefalas02,10.1.1.10.6547,8794076,"(5, '-', 5)",98595.35273885727,Match,0.00029468536376953125,8.0108642578125e-05,0.0003838539123535156,0.4,0.85
7,5000,Database Systems.,reference/ap/SilberschatzK002,10.1.1.108.3098,1113918,"(5, '-', 5)",98595.35273885727,Match,0.0017545223236083984,0.0007436275482177734,0.002557039260864258,0.4,0.85
7,5000,Business-to-Business Electronic Commerce,reference/ap/Lee02,10.1.1.15.6232,8677106,"(22, '-', 22)",98595.35273885727,Match,0.0031387805938720703,0.0017771720886230469,0.005033731460571289,0.4,0.85
7,5000,Tail Bounds for Occupancy Problems,reference/algo/Spirakis08b,10.1.1.29.1285,2366265,"(22, '-', 17)",98595.35273885727,Match,0.005230426788330078,0.0028083324432373047,0.00821995735168457,0.4,0.85
7,5000,Fault-Tolerant Quantum Computation,reference/algo/Reichardt16,10.1.1.114.2852,5932949,"(18, '-', 18)",98595.35273885727,Match,0.004983186721801758,0.0017042160034179688,0.00680851936340332,0.4,0.85
7,5000,An Efficient Parallel Algorithm for Two Processors Precedence Constraint Scheduling,reference/algo/Serna08,10.1.1.41.306,8100062,"(34, '-', 23)",98595.35273885727,Match,0.005563497543334961,0.004019498825073242,0.009802579879760742,0.4,0.85
7,5000,Deterministic Broadcasting in Ad Hoc Radio Networks,reference/algo/Gasieniec16,10.1.1.22.9147,1203113,"(19, '-', 20)",98595.35273885727,Match,0.007380962371826172,0.00374603271484375,0.01134634017944336,0.4,0.85
7,5000,The Sphere Packing Problem,reference/algo/Chen16c,10.1.1.56.8384,1202924,"(10, '-', 8)",98595.35273885727,Match,0.0012488365173339844,0.0006704330444335938,0.0019707679748535156,0.4,0.85
7,5000,Symmetric Graph Drawing,reference/algo/Hong16,10.1.1.130.1883,7151578,"(12, '-', 12)",98595.35273885727,Match,0.0015125274658203125,0.0006494522094726562,0.0022125244140625,0.4,0.85
7,5000,Kinetic Data Structures,reference/algo/Speckmann16,10.1.1.128.4064,7021835,"(11, '-', 11)",98595.35273885727,Match,0.004926919937133789,0.0023345947265625,0.007414102554321289,0.4,0.85
7,5000,Arithmetic Coding for Data Compression,reference/algo/HowardV16,10.1.1.16.5322,385588,"(22, '-', 22)",98595.35273885727,Match,0.009851217269897461,0.004607439041137695,0.014717817306518555,0.4,0.85
7,5000,Binary Decision Graphs,reference/algo/AzizP16,10.1.1.18.2902,839159,"(10, '-', 6)",98595.35273885727,Match,0.0020782947540283203,0.0011715888977050781,0.0033309459686279297,0.4,0.85
7,5000,O(log log n)-Competitive Dynamic Binary Search Trees ∗,reference/algo/Wang08a,10.1.1.98.3244,4181320,"(19, '-', 19)",98595.35273885727,Match,0.004617214202880859,0.0023283958435058594,0.007096290588378906,0.4,0.85
7,5000,Lower Bounds for Dynamic Connectivity,reference/algo/Patrascu08,10.1.1.113.7484,5890927,"(19, '-', 16)",98595.35273885727,Match,0.009953022003173828,0.003819704055786133,0.014016151428222656,0.4,0.85
