k,num_removed_kmers,paper_limit,paper_title,paper_id,best_candidate_id,2nd_best_candidate_id,query_time,ratio,hashmap_build_time,average_success_rate,average_query_time
3,20,60000000000000000,Automatic Two-Lane Path Generation for Autonomous Vehicles Using Quartic B-Spline Curves.,journals/tiv/SuzukiUM18,journals/tiv/SuzukiUM18,conf/itsc/LimT18,7.9353086948394775,"(77, '-', 42)",549.809070110321,Match,-
3,20,60000000000000000,Self-reconfigurable software architecture: Design and implementation.,journals/candie/MunRJ06,journals/candie/MunRJ06,conf/dagstuhl/CumplidoCUP10,8.84036374092102,"(58, '-', 48)",549.809070110321,Match,-
3,20,60000000000000000,Horizontal product differentiation in Varian's model of sales.,journals/ijgt/Nakagawa23,journals/ijgt/Nakagawa23,journals/corr/Nakagawa17,7.131304025650024,"(50, '-', 38)",549.809070110321,Match,-
3,20,60000000000000000,Large monochromatic components in multicolored bipartite graphs.,journals/jgt/DeBiasioKS20,journals/jgt/DeBiasioKS20,journals/jcta/Rahimi20,7.016814470291138,"(53, '-', 40)",549.809070110321,Match,-
3,20,60000000000000000,Modal and Temporal Properties of Processes.,series/txcs/Stirling01,series/txcs/Stirling01,journals/corr/abs-2106-00966,6.0767388343811035,"(37, '-', 36)",549.809070110321,Match,-
3,20,60000000000000000,Optimal Filter-Bank Design for Multiple Texture Discrimination.,conf/icip/RandenH97a,conf/icip/RandenH97a,journals/ior/Shi99,8.071556091308594,"(53, '-', 31)",549.809070110321,Match,-
3,20,60000000000000000,BJR-Tree: Fast Skyline Computation Algorithm for Serendipitous Searching Problems.,conf/dsaa/KoizumiEHI17,conf/dsaa/KoizumiEHI17,conf/ai/MorinLAM10,9.500072479248047,"(71, '-', 37)",549.809070110321,Match,-
3,20,60000000000000000,Solving Combinatorial Problems via the Random Exploration of the Search Space: An Experimental Approach for Fast Decision Making.,conf/noms/SilvaSGSSMSN22,conf/noms/SilvaSGSSMSN22,journals/it/Huffner09,14.172211170196533,"(107, '-', 45)",549.809070110321,Match,-
3,20,60000000000000000,Heuristics for the global optimization of microprograms.,conf/micro/Poe80,conf/micro/Poe80,journals/asc/OuyangGLK17,6.104470491409302,"(40, '-', 31)",549.809070110321,Match,-
3,20,60000000000000000,Integrierte Testkonzepte - Von der Theorie zur Praxis und zur&uuml;ck.,conf/se/Gerlich07,conf/se/Gerlich07,journals/stt/Sneed09a,5.560203552246094,"(73, '-', 46)",549.809070110321,Match,-
3,20,60000000000000000,Effect of the principal component on the PCA-based neural network model for HFO2 thin film characteristics.,conf/aia/KoHMY07,conf/aia/KoHMY07,journals/jiat/Treur17,10.536495208740234,"(84, '-', 46)",549.809070110321,Match,-
3,20,60000000000000000,Multiple-Hypothesis CTC-Based Semi-Supervised Adaptation of End-to-End Speech Recognition.,conf/icassp/DoDH21,conf/icassp/DoDH21,journals/corr/abs-2103-15515,8.072671175003052,"(76, '-', 46)",549.809070110321,Match,-
3,20,60000000000000000,Image noise-informative map for noise standard deviation estimation.,conf/icassp/UssVLBC11,conf/icassp/UssVLBC11,journals/cee/KhanWRAAS16,7.3293538093566895,"(62, '-', 34)",549.809070110321,Match,-
3,20,60000000000000000,Minimum settling time voltage regulation of single-phase PFC converters.,conf/icecsys/NinkovicJ01,conf/icecsys/NinkovicJ01,conf/iasam/AhmedBHAK17,7.254072427749634,"(58, '-', 36)",549.809070110321,Match,-
3,20,60000000000000000,DynaPyt: a dynamic analysis framework for Python.,conf/sigsoft/EghbaliP22,conf/sigsoft/EghbaliP22,journals/jossw/Smith21,5.54999852180481,"(45, '-', 31)",549.809070110321,Match,-
3,20,60000000000000000,Getting Back Up: Understanding How Enterprise Data Backups Fail.,conf/usenix/AmvrosiadisB16,conf/usenix/AmvrosiadisB16,journals/synthese/Stein04,5.706731557846069,"(62, '-', 28)",549.809070110321,Match,-
3,20,60000000000000000,3-Designs from Z<sub>4</sub>-Goethals-Like Codes and Variants of Cyclotomic Polynomials.,conf/wcc/LahtonenRV05,journals/mj/WangRHHC09,journals/qip/JiZ23,6.720517873764038,"(136, '-', 123)",549.809070110321,NOT MATCH,-
3,20,60000000000000000,(Not) yet another policy for scalable video delivery to mobile users.,conf/mmsys/HosseiniFP15,conf/mmsys/HosseiniFP15,conf/iscas/LiCCT10,7.366889238357544,"(62, '-', 37)",549.809070110321,Match,-
3,20,60000000000000000,A Self-healing Key Pre-distribution Scheme for Multi-phase Wireless Sensor Networks.,conf/trustcom/MessaiS17,conf/trustcom/MessaiS17,conf/iscis/CatakogluL13,10.57347321510315,"(74, '-', 55)",549.809070110321,Match,-
3,20,60000000000000000,Nonlinear Integration of Spatial and Temporal Forecasting by Support Vector Machines.,conf/fskd/WangCL07,conf/fskd/WangCL07,journals/corr/QiSN16,11.176727771759033,"(71, '-', 52)",549.809070110321,Match,-
3,20,60000000000000000,Network Security Management Using ARP Spoofing.,conf/iccsa/KwonAC04,conf/iccsa/KwonAC04,journals/jnsm/DawkinsCMP05,6.329378366470337,"(39, '-', 39)",549.809070110321,Match,-
3,20,60000000000000000,Filtering techniques for the system prognosis.,conf/icsc2/OuladsineOC16,conf/icsc2/OuladsineOC16,journals/corr/abs-1207-5104,5.5252861976623535,"(33, '-', 28)",549.809070110321,Match,-
3,20,60000000000000000,A QoS-Aware Adaptive Mobility Handling Approach for LoRa-Based IoT Systems.,conf/saso/RobbeD18,conf/saso/RobbeD18,conf/icwe/ZhangWZWC05,8.837417364120483,"(62, '-', 36)",549.809070110321,Match,-
3,20,60000000000000000,HSP: Hybrid Synchronous Parallelism for Fast Distributed Deep Learning.,conf/icpp/Li0LZJ022,conf/icpp/Li0LZJ022,journals/corr/abs-2001-01347,8.259556293487549,"(64, '-', 43)",549.809070110321,Match,-
3,20,60000000000000000,The Nexus information hub for exploring social-informational context.,conf/adcs/MansfieldRCS02,conf/adcs/MansfieldRCS02,journals/jd/Graminius22,6.742560625076294,"(58, '-', 47)",549.809070110321,Match,-
